n_trades,win_rate,avg_trade_return,med_trade_return,std_trade_return,expectancy,avg_holding
5,1.0,0.005121983419511311,0.005320714326920273,0.002962624189007136,0.005121983419511311,12.8
9,0.7777777777777778,0.0026384893701360606,0.004107587354666764,0.007913879577403065,0.0026384893701360606,16.444444444444443
17,0.7058823529411765,0.0022900773645386265,0.002212186049410869,0.004045620210257255,0.0022900773645386265,10.235294117647058
18,0.6666666666666666,0.00018627610358258452,0.0008056587880654886,0.0028110632148622364,0.00018627610358258452,7.666666666666667
