pair,side,entry_time,exit_time,holding_period,entry_z,exit_z,entry_spread,exit_spread,trade_return
IYC & XHB,long,2022-09-23,2022-10-17,17,-2.5599434652608437,-0.26476315560184777,0.00992360549371174,-0.00788338575662273,-0.018801283773592692
XLF & IYF,long,2022-09-19,2022-10-04,12,-2.6146378864990973,-0.07209931242124841,-0.010863475078409568,-0.0065234413491577214,0.004326229954572547
XLF & IYF,short,2023-03-10,2023-03-16,5,2.6704027696873025,0.22803398491524404,0.007827983736586663,0.0043290978096268695,0.0035027873946227306
XLY & XHB,long,2022-09-23,2022-10-25,23,-2.6579914662763833,-0.21038460627520664,0.03291986303596861,0.020002354014488688,-0.0156538022830065
XLY & XHB,long,2022-12-16,2023-01-10,16,-2.5338185903914057,-0.44157503880088933,-0.0846985565140983,-0.09141573459585128,-0.007815628223144966
