pair,side,entry_time,exit_time,holding_period,entry_z,exit_z,entry_spread,exit_spread,trade_return
IYC & XHB,short,2022-07-20,2022-07-26,5,2.1636326844802243,0.052914540743553465,0.022808734550707754,-0.009598787764041994,0.0324964517950741
IYC & XHB,short,2022-08-03,2022-08-22,14,2.0485059531716,-0.18468993605646936,0.07525745149972529,0.060268974363084205,0.014564169759386125
IYC & XHB,long,2022-09-23,2022-10-18,18,-2.5599434652608437,0.11742663163186501,0.00992360549371174,-0.0022599939182255113,-0.013283618920919449
IYC & XHB,long,2022-11-09,2022-11-11,3,-2.2694846177641184,-0.09618096858278737,-0.0414672248721617,0.0017688956333401507,0.043701575636629464
IYC & XHB,short,2022-11-30,2023-01-06,26,2.0475100272186224,0.01663845719183571,0.02091241751309969,-0.05926693548989359,0.08220103105315912
IYC & XHB,long,2023-02-24,2023-03-22,19,-2.33480773546271,0.0267600256362257,-0.01542244635959733,-0.025923096150981095,-0.01107189185391333
IYC & XHB,short,2023-03-31,2023-04-12,8,2.4117072908803925,-0.12914763782053185,0.007861425214357176,-0.013327819495986049,0.02118421094783418
IYC & XHB,long,2023-04-25,2023-05-10,12,-2.005053446547853,-0.23845790779077725,-0.020684978913550367,-0.017458946318154922,0.0030544846755826693
XLF & IYF,long,2022-09-14,2022-10-04,15,-2.422763977717429,-0.07209931242124841,-0.007676339161068579,-0.0065234413491577214,0.0011160911603851353
XLF & IYF,short,2022-11-14,2022-11-25,9,2.2377765688273556,0.07217832530628364,0.0008583239489801109,0.0015384635271971092,-0.0006846680048387954
XLF & IYF,short,2022-12-13,2022-12-28,11,2.3504027003311685,-0.1554935949788707,0.010002223218835926,0.005565695617499866,0.004417437636811128
XLF & IYF,long,2023-01-12,2023-01-31,13,-2.161639378968605,0.14859860709020525,0.0010777288127159501,0.001021180873276517,-6.418475324010409e-05
XLF & IYF,short,2023-03-06,2023-03-16,9,2.32640975407095,0.22803398491524404,0.002921365565745404,0.0043290978096268695,-0.0014254461077846114
XLF & IYF,long,2023-03-21,2023-03-27,5,-2.0349726589205925,-0.12651937770398264,-0.005254971107726991,0.0019631358271778865,0.007189227944559118
XLF & IYF,long,2023-04-19,2023-05-10,16,-2.144554742760546,-0.13664887459672018,-0.001978359113746997,0.00877679254440622,0.010776717126573576
XLF & IYF,long,2023-05-22,2023-06-01,8,-2.0584752135295483,-0.08303685915235773,0.0052613435857802315,0.0033294342082608175,-0.001948054285590195
XLY & XHB,short,2022-08-04,2022-08-26,17,2.189417766923066,0.0413813648249261,0.1272863991642712,0.09221032643907101,0.03435287226730299
XLY & XHB,long,2022-09-22,2022-10-25,24,-2.139344859805269,-0.21038460627520664,0.055778362347022714,0.020002354014488688,-0.03815447916535952
XLY & XHB,long,2022-11-09,2022-11-11,3,-2.4459139569013293,0.04305915588627042,-0.07449293630386844,-0.009752315686245794,0.06564212622968868
XLY & XHB,long,2022-12-15,2023-01-11,18,-2.0835113007573955,0.05062865344472493,-0.06997590034804269,-0.07150673176807842,-0.0029606386566272125
XLY & XHB,short,2023-01-27,2023-02-23,19,2.2830579468544405,0.21125314475366627,-0.008261769738713731,-0.020974152227758225,0.011142692713952851
XLY & XHB,long,2023-03-09,2023-03-21,9,-2.233587366896545,0.13763582165507215,-0.06542828150716762,-0.021739312985475046,0.044133489265562265
