pair,side,entry_time,exit_time,holding_period,entry_z,exit_z,entry_spread,exit_spread,trade_return
IDU & VPU,short,2021-07-15,2021-07-21,5,2.617525280380124,0.20385450344260023,0.0006333390369688274,-0.0005788386732312745,0.0012126982327214098
IDU & VPU,long,2021-09-24,2021-10-05,8,-3.405655237750346,-0.1663937659723742,-0.004666324299912539,-0.0005969883758174532,0.004045887393716363
IDU & VPU,long,2021-12-13,2021-12-22,8,-3.066073073045229,-0.003446243645329711,-0.0018469660925184428,0.0021268594229066906,0.003942749783087285
IDU & VPU,short,2022-04-27,2022-05-31,24,2.708366779066023,-0.23125671267293418,0.005106214446181312,-0.0025801707279944353,0.007690975028378899
IYC & XHB,long,2021-07-30,2021-09-03,26,-2.5685627791785097,-0.06194767552382453,-0.004677080132147182,-0.013106200571582072,-0.008840268416885788
IYC & XHB,short,2021-09-08,2021-10-20,31,2.5471260420985895,-0.1807222128861772,0.0064914173820396215,0.017534202804427856,-0.01153197304404252
IYC & XHB,short,2022-03-24,2022-04-21,20,2.703472057342175,0.1675483448538801,0.055613622209735425,0.06879702819718503,-0.014116500115367137
XLE & AMLP,long,2021-10-14,2021-10-26,9,-2.6142574882638647,-0.004639444244306976,-0.13632807507260303,-0.0766942169186331,0.060087466606076
XLE & AMLP,long,2022-01-04,2022-01-24,14,-2.619403207197953,-0.16929078451881427,0.0247590192738798,0.05573790756248265,0.02961395085010432
XLE & AMLP,short,2022-03-14,2022-03-24,9,2.514711541205593,0.009589714595796996,0.1548683611239534,0.06870926561637081,0.08861484104797568
XLE & AMLP,short,2022-05-11,2022-05-27,13,2.711179327660608,-0.016465887483829024,0.14010200292489028,0.07848426787462248,0.05895729015830242
XLY & IYC,long,2021-08-17,2021-08-30,10,-3.5542468867372463,0.17518536354240474,-0.04829182336535354,-0.032979046876730145,0.015354502112532309
XLY & IYC,short,2021-10-15,2021-12-13,41,2.907268412411128,0.007816329077174994,-0.015324893917759042,0.024122835285782962,-0.03916774281434954
XLY & IYC,long,2022-02-23,2022-03-10,12,-2.5489075293089916,-0.09794740441941198,-0.0031982639709058347,0.009188116932680401,0.012374327706263566
XLY & IYC,short,2022-03-22,2022-04-12,16,2.516073766743268,-0.06917923748839472,0.026878371271305213,0.01886940176333951,0.007856891413279943
XLY & IYC,long,2022-05-11,2022-05-31,14,-2.6175777309411954,-0.2283989548086564,-0.0015687478346277928,0.005779527758305925,0.007205031873393164
