pair,side,entry_time,exit_time,holding_period,entry_z,exit_z,entry_spread,exit_spread,trade_return
IDU & VPU,long,2023-09-26,2023-11-03,29,-4.382844001862742,0.11477422899235351,-0.02125055935039999,-0.006324166821537247,0.014918949893925504
IDU & VPU,short,2023-11-13,2023-11-17,5,3.07214034401572,0.1628585885851073,0.0034129942234111255,-0.0031780499642923843,0.006596855877247343
IDU & VPU,short,2023-12-19,2024-01-02,9,3.4735252856141963,0.13504265036734253,0.006406794456090381,-0.0015443956547693816,0.007959879428404149
IDU & VPU,short,2024-01-18,2024-03-08,36,2.747524827566748,0.0810484623659929,0.008348434041045572,0.015387852650493805,-0.007086416683467878
IDU & VPU,long,2024-05-02,2024-06-07,26,-2.6852542374973494,-0.09312116437583032,0.009150343725160326,0.008051853801434916,-0.001119949580134172
XLU & VPU,long,2023-09-25,2023-09-29,5,-2.570338528344238,0.028597213114786635,-0.006808732185914934,-0.0013109017497328068,0.00547509343038044
XLU & VPU,long,2023-12-18,2023-12-19,2,-2.569196711576504,-0.05011485423226182,-0.007251786511914382,0.0015350826611086887,0.00878686917302307
XLU & VPU,long,2024-03-18,2024-03-27,8,-3.909124833888106,-0.2080883736530472,-0.007745614989831395,-0.000751809637881351,0.006984089565950313
