pair,side,entry_time,exit_time,holding_period,entry_z,exit_z,entry_spread,exit_spread,trade_return
IDU & VPU,long,2023-09-26,2023-10-24,21,-4.382844001862742,0.7158871558664854,-0.02125055935039999,-0.005464030893735483,0.015807793486352306
IDU & VPU,short,2023-11-13,2023-11-17,5,3.07214034401572,0.1628585885851073,0.0034129942234111255,-0.0031780499642923843,0.006596855877247343
IDU & VPU,short,2023-12-19,2023-12-22,4,3.4735252856141963,0.6046765355006211,0.006406794456090381,-0.00031808304803249143,0.006730465527406304
IDU & VPU,short,2024-01-16,2024-02-12,20,2.1785587031657183,0.7334256270825588,0.0043736255270232505,0.010353401044648436,-0.005987320313977529
IDU & VPU,long,2024-05-01,2024-05-23,17,-2.249963471262242,-0.6991294081573395,0.011390780574583204,0.008141499534814578,-0.0032606588513895973
XLB & IYM,long,2023-07-03,2023-07-06,3,-2.2125415025831914,-0.12954472248728224,-0.003694347874095172,-0.00183633971887609,0.0018588670773105331
XLB & IYM,long,2023-07-07,2023-07-14,6,-2.0402909897149186,0.06062226924724962,-0.006052444096366294,-0.007483939708509801,-0.0014517359792139972
XLB & IYM,long,2023-07-31,2023-08-01,2,-2.336862628227137,-0.5690091262198915,-0.012035072126815649,-0.008642427072362402,0.003392645054453247
XLB & IYM,short,2023-09-26,2023-09-29,4,2.113323742329303,0.5184068496098605,0.0032565233503545343,-0.0003013242577916131,0.003560131195241123
XLB & IYM,short,2023-10-23,2023-10-26,4,2.072672926303728,-0.2356632103301707,0.005847222986673728,0.0019300902243069018,0.0039028241610452596
XLB & IYM,short,2023-11-07,2023-11-09,3,2.1390858475684493,0.5801015005128426,0.008206208022897954,0.006624956503463508,0.0015685663711257902
XLB & IYM,long,2023-12-01,2023-12-05,3,-2.3491407754513656,0.11588125810433707,-0.0020494384676696953,0.001708605623574222,0.0037594493536081686
XLB & IYM,long,2023-12-18,2023-12-22,5,-2.140218316187269,-0.6497808370166368,-0.013427242189936628,-0.013359493404636602,4.524405879946514e-05
XLB & IYM,short,2024-05-01,2024-05-06,4,2.2900676373325717,0.6841152100238642,0.00997033891674004,0.008623925702004875,0.0013465186248968752
XLB & IYM,short,2024-06-04,2024-06-06,3,2.3017538251601533,0.6148356355881602,0.007475251077143419,0.0038164791820234356,0.0036620610851691993
XLF & IYF,long,2023-07-18,2023-08-01,11,-2.1333919937592754,0.7297333709723363,0.004706599718990567,0.00225214710578836,-0.0024665897799968084
XLF & IYF,long,2023-09-12,2023-09-13,2,-2.0167021209708604,-0.21766668914111997,-0.00010134551939033898,0.002539850358965534,0.002641195878355873
XLF & IYF,long,2023-10-26,2023-10-30,3,-2.292345460193327,-0.2780243879478794,-0.010464098106085284,-0.006557577755941679,0.003910066171084248
XLF & IYF,long,2023-12-04,2023-12-07,4,-2.308291786487803,-0.23276167328533318,-0.004364370360512293,-0.0027571436922277925,0.0016072377569533725
XLF & IYF,long,2023-12-14,2023-12-20,5,-2.0326424624567214,-0.4220181630539977,-0.0069503617942472395,-0.006630056620941627,0.0003085572875050069
XLF & IYF,short,2024-01-30,2024-02-08,8,2.2302444813812277,-0.08912100263249628,0.004327621414483396,0.007397295451081476,-0.003084357093616763
XLF & IYF,long,2024-03-25,2024-03-28,4,-2.223380153776261,-0.4621442401055124,-0.0010933905016723422,0.0012223700694868889,0.0023155791434199546
XLF & IYF,long,2024-05-01,2024-05-07,5,-2.1801401550676878,-0.3880429669739526,-0.001826059605527064,-0.0018086094178535461,1.1033595232579074e-05
XLU & VPU,long,2023-12-18,2023-12-19,2,-2.378646728129277,0.21311974712200665,-0.007251786511914382,0.0015350826611086887,0.00878686917302307
XLU & VPU,long,2024-03-18,2024-03-27,8,-3.526235349056409,-0.47791508246084435,-0.007745614989831395,-0.000751809637881351,0.006984089565950313
