pair,side,entry_time,exit_time,holding_period,entry_z,exit_z,entry_spread,exit_spread,trade_return
IDU & VPU,short,2023-08-15,2023-08-18,4,1.5704038244582896,0.6367575059713874,-0.013688132953371124,-0.015438504436832368,0.001751389746516896
IDU & VPU,short,2023-09-05,2023-09-08,4,1.7536616368416702,0.5305146396094017,-0.013213230019887945,-0.014910409674096847,0.001696502332894978
IDU & VPU,long,2023-09-26,2023-10-24,21,-4.382844001862742,0.7158871558664854,-0.02125055935039999,-0.005464030893735483,0.015807793486352306
IDU & VPU,short,2023-11-09,2023-11-17,7,1.6472887609898832,0.1628585885851073,0.0016618384761475369,-0.0031780499642923843,0.004832851821769291
IDU & VPU,short,2023-12-19,2023-12-22,4,3.4735252856141963,0.6046765355006211,0.006406794456090381,-0.00031808304803249143,0.006730465527406304
IDU & VPU,short,2024-01-11,2024-02-12,22,1.8804274002455534,0.7334256270825588,0.002594023252412647,0.010353401044648436,-0.007755726362882909
IDU & VPU,short,2024-02-13,2024-03-04,14,1.8816912800870822,0.646774453882098,0.01810265426180102,0.017051366114522182,0.0010321977512448566
IDU & VPU,long,2024-03-21,2024-03-25,3,-1.5285128630620457,0.6792425925411533,0.012817176109857442,0.019077865887499712,0.0062513589729398245
IDU & VPU,short,2024-03-26,2024-03-27,2,1.5429322935728271,0.5073130144925729,0.021668860892039454,0.01899138061395167,0.0026774802780871187
IDU & VPU,long,2024-04-09,2024-04-10,2,-1.7447982861230165,0.7145640065853829,0.013767722830981377,0.019370929642906987,0.0056032068119251655
IDU & VPU,short,2024-04-16,2024-04-17,2,1.839281058620395,0.3511588154487543,0.021134115432024814,0.018142616240139908,0.0029914991918842393
IDU & VPU,long,2024-04-30,2024-05-23,18,-1.5408487470389358,-0.6991294081573395,0.013606780087239478,0.008141499534814578,-0.005469432745620617
XLB & IYM,long,2023-07-03,2023-07-06,3,-2.2125415025831914,-0.12954472248728224,-0.003694347874095172,-0.00183633971887609,0.0018588670773105331
XLB & IYM,long,2023-07-07,2023-07-14,6,-2.0402909897149186,0.06062226924724962,-0.006052444096366294,-0.007483939708509801,-0.0014517359792139972
XLB & IYM,long,2023-07-31,2023-08-01,2,-2.336862628227137,-0.5690091262198915,-0.012035072126815649,-0.008642427072362402,0.003392645054453247
XLB & IYM,short,2023-08-02,2023-08-09,6,1.5630297740945625,0.2461831878071728,-0.003100302560843815,-0.002016024602231603,-0.0010993956928084803
XLB & IYM,long,2023-08-14,2023-08-15,2,-1.6468304134693348,0.6338511296070946,-0.0031704454104390933,0.0009997492017053133,0.004170194612144185
XLB & IYM,long,2023-08-29,2023-09-01,4,-1.6924158187339389,0.1874074697604691,-0.006376063339774696,-0.0044872988118820345,0.0018858832009778226
XLB & IYM,short,2023-09-07,2023-09-14,6,1.7704339905193254,0.38847059509442705,-0.001941068409389679,0.0010808267644737413,-0.003025779956383756
XLB & IYM,long,2023-09-18,2023-09-22,5,-1.928706557665711,-0.6549905326834193,-0.005445803251838299,-0.00561614772768948,-0.00017073569465397842
XLB & IYM,short,2023-09-26,2023-09-29,4,2.113323742329303,0.5184068496098605,0.0032565233503545343,-0.0003013242577916131,0.003560131195241123
XLB & IYM,short,2023-10-04,2023-10-09,4,1.6575196000885137,-0.22612207444838747,0.00795512890289718,0.0034477318300201176,0.0045080352738595675
