pair,side,entry_time,exit_time,holding_period,entry_z,exit_z,entry_spread,exit_spread,trade_return
IYC & XHB,short,2022-07-19,2022-07-26,6,1.51796907936964,0.052914540743553465,0.006423301315138907,-0.009598787764041994,0.015578550118224843
IYC & XHB,short,2022-07-29,2022-08-22,17,1.9649455627524557,-0.18468993605646936,0.04442490704832025,0.060268974363084205,-0.016464864543536684
IYC & XHB,long,2022-08-30,2022-09-07,6,-1.6967156065746252,-0.21873644913669413,0.04553158489816589,0.06132134287267377,0.01572194788320025
IYC & XHB,long,2022-09-22,2022-10-17,18,-1.9328507696590886,-0.26476315560184777,0.030837153060223166,-0.00788338575662273,-0.03932162979759346
IYC & XHB,short,2022-10-25,2022-11-02,7,1.683078406400548,-0.3489391521287363,0.025897529341090575,-0.007376263891755386,0.033594116915220074
IYC & XHB,long,2022-11-09,2022-11-11,3,-2.2694846177641184,-0.09618096858278737,-0.0414672248721617,0.0017688956333401507,0.043701575636629464
IYC & XHB,short,2022-11-30,2022-12-05,4,2.0475100272186224,0.2900013811548514,0.02091241751309969,0.00222065590535081,0.018724565372203683
IYC & XHB,long,2022-12-07,2023-01-06,21,-1.9633228289285778,0.01663845719183571,-0.02194204552008383,-0.05926693548989359,-0.03750714477250627
IYC & XHB,short,2023-01-11,2023-02-10,22,1.54853140006174,0.04162490197218521,-0.04038820972730672,-0.0026319704880188866,-0.037859777752609736
IYC & XHB,short,2023-02-15,2023-02-16,2,1.5209148360769615,0.42352717375989923,0.024873833230445896,0.011077888942475411,0.013795944287970707
IYC & XHB,long,2023-02-23,2023-03-16,16,-1.7342571455004552,-0.3012881186151432,-0.005104996348067381,-0.025700691083713423,-0.020808662798111777
IYC & XHB,short,2023-03-30,2023-04-12,9,1.9082680965570422,-0.12914763782053185,-0.004996737899607417,-0.013327819495986049,0.008053657794062197
IYC & XHB,long,2023-04-25,2023-05-08,10,-2.005053446547853,-0.3584806851618009,-0.020684978913550367,-0.017517935342699964,0.002996913940885193
IYC & XHB,short,2023-05-18,2023-05-24,5,2.065600950661881,0.3854746771996257,-0.006067887086593338,-0.015806023410783965,0.009767255635911631
IYC & XHB,short,2023-05-26,2023-06-07,8,1.5881766175062315,0.32565693691582853,-0.006526711947745234,-0.0058176574375679024,-0.0008219017819641738
XLF & IYF,short,2022-07-13,2022-07-19,5,1.7199029530702776,0.4090086779961675,-0.002164627995468571,-0.0023504460500025637,0.00018494477856334512
XLF & IYF,long,2022-07-28,2022-08-09,9,-1.816293124242507,-0.04981728330477791,-0.0040724441726855964,-0.004893335684485578,-0.0008224502096435549
XLF & IYF,long,2022-08-10,2022-08-12,3,-1.5531219348105636,-0.34593304336323355,-0.006752504712115748,-0.005786432192653734,0.0009643615850638554
XLF & IYF,long,2022-08-15,2022-08-22,6,-1.5372064657460185,-0.27593571159869695,-0.006948462636036545,-0.005925738140792891,0.0010192995728781629
XLF & IYF,long,2022-09-14,2022-10-04,15,-2.422763977717429,-0.07209931242124841,-0.007676339161068579,-0.0065234413491577214,0.0011160911603851353
XLF & IYF,short,2022-10-17,2022-10-26,8,1.5089785743119286,0.2175151510608817,-0.003979217525259315,-0.0019629833563765686,-0.0020200301635335816
XLF & IYF,long,2022-11-01,2022-11-10,8,-1.7494014146642032,0.04966523193031871,-0.004059939422246028,-0.0028296671806891105,0.0012273894321157552
XLF & IYF,short,2022-11-14,2022-11-25,9,2.2377765688273556,0.07217832530628364,0.0008583239489801109,0.0015384635271971092,-0.0006846680048387954
XLF & IYF,short,2022-12-05,2022-12-08,4,1.978682649474591,-0.027260217054055586,0.004334459323016127,0.0026530565163649378,0.001678526570526362
XLF & IYF,short,2022-12-13,2022-12-20,6,2.3504027003311685,-0.4790671786146394,0.010002223218835926,0.005317102871654988,0.004672517783062657
XLF & IYF,short,2023-01-05,2023-01-06,2,1.5024519518988892,0.45338240537460955,0.005891144222399003,0.004998243485984322,0.0008929007364142372
XLF & IYF,long,2023-01-10,2023-01-27,13,-1.5568885317297811,0.3486486158705981,0.0031455559483455353,0.0012960046421901517,-0.0018570802439736855
XLF & IYF,long,2023-02-01,2023-02-06,4,-1.996650254786046,0.20094474955011155,-0.0013179769068734082,0.000705637100960832,0.0020242001441348467
XLF & IYF,short,2023-02-09,2023-02-15,5,1.6581777853414046,-0.42889607857748074,0.00261316261679001,0.0001830444911106177,0.002431275976952252
XLF & IYF,short,2023-03-02,2023-03-07,4,1.798583190464018,0.3722012019139136,0.0014352267423185516,0.0015108810204509382,-7.741515038561797e-05
XLF & IYF,short,2023-03-10,2023-03-16,5,2.6704027696873025,0.22803398491524404,0.007827983736586663,0.0043290978096268695,0.0035027873946227306
XLF & IYF,long,2023-03-20,2023-03-24,5,-1.9813159517237435,0.38628557440487155,-0.0021405668804241884,0.004543385418604995,0.006649841397329936
XLF & IYF,long,2023-04-19,2023-04-24,4,-2.144554742760546,0.3356506940993552,-0.001978359113746997,0.0029478070902744236,0.004931136065991826
XLF & IYF,short,2023-05-03,2023-05-10,6,1.9667729430563843,-0.13664887459672018,0.0091440585884075,0.00877679254440622,0.00034489170158513716
XLF & IYF,long,2023-05-22,2023-05-31,7,-2.0584752135295483,-0.35581568970148714,0.0052613435857802315,0.0028666099219130103,-0.0024097632749700004
XLF & IYF,long,2023-06-08,2023-06-14,5,-1.6439233857336863,-0.41105005817776047,-0.0022169904698969845,-0.0010554810460181585,0.0011405643937649756
XLY & XHB,short,2022-08-04,2022-08-26,17,2.189417766923066,0.0413813648249261,0.1272863991642712,0.09221032643907101,0.03435287226730299
XLY & XHB,long,2022-09-21,2022-10-25,25,-1.5676370349816113,-0.21038460627520664,0.07344971734150096,0.020002354014488688,-0.05515159281387694
XLY & XHB,long,2022-11-07,2022-11-11,5,-1.703815150067653,0.04305915588627042,-0.04374765726801133,-0.009752315686245794,0.033002177041735026
XLY & XHB,long,2022-12-15,2023-01-10,17,-2.0835113007573955,-0.44157503880088933,-0.06997590034804269,-0.09141573459585128,-0.022423217582149713
XLY & XHB,short,2023-01-26,2023-02-21,18,1.823751001747262,0.33086964545875835,-0.028231568073144864,-0.020863304543876637,-0.009147644351412798
XLY & XHB,long,2023-03-09,2023-03-21,9,-2.233587366896545,0.13763582165507215,-0.06542828150716762,-0.021739312985475046,0.044133489265562265
XLY & XHB,short,2023-03-31,2023-04-12,8,1.669384006929905,-0.09975012650494276,0.00043658205059315947,-0.03617573929161466,0.03694979544512922
