pair,side,entry_time,exit_time,holding_period,entry_z,exit_z,entry_spread,exit_spread,trade_return
IDU & VPU,long,2023-09-26,2023-11-03,29,-4.382844001862742,0.11477422899235351,-0.02125055935039999,-0.006324166821537247,0.014918949893925504
IDU & VPU,short,2023-11-13,2023-11-17,5,3.07214034401572,0.1628585885851073,0.0034129942234111255,-0.0031780499642923843,0.006596855877247343
IDU & VPU,short,2023-12-19,2024-01-02,9,3.4735252856141963,0.13504265036734253,0.006406794456090381,-0.0015443956547693816,0.007959879428404149
IDU & VPU,short,2024-01-16,2024-03-08,38,2.1785587031657183,0.0810484623659929,0.0043736255270232505,0.015387852650493805,-0.011029269854563428
IDU & VPU,long,2024-05-01,2024-06-07,27,-2.249963471262242,-0.09312116437583032,0.011390780574583204,0.008051853801434916,-0.0033578772532483203
XLB & IYM,long,2023-07-03,2023-07-06,3,-2.2125415025831914,-0.12954472248728224,-0.003694347874095172,-0.00183633971887609,0.0018588670773105331
XLB & IYM,long,2023-07-07,2023-07-14,6,-2.0402909897149186,0.06062226924724962,-0.006052444096366294,-0.007483939708509801,-0.0014517359792139972
XLB & IYM,long,2023-07-31,2023-08-09,8,-2.336862628227137,0.2461831878071728,-0.012035072126815649,-0.002016024602231603,0.010032262494237054
XLB & IYM,short,2023-09-26,2023-10-09,10,2.113323742329303,-0.22612207444838747,0.0032565233503545343,0.0034477318300201176,-0.0002190034949525188
XLB & IYM,short,2023-10-23,2023-10-26,4,2.072672926303728,-0.2356632103301707,0.005847222986673728,0.0019300902243069018,0.0039028241610452596
XLB & IYM,short,2023-11-07,2023-11-10,4,2.1390858475684493,-0.09077260968059944,0.008206208022897954,0.004194129255616019,0.004003206532847914
XLB & IYM,long,2023-12-01,2023-12-05,3,-2.3491407754513656,0.11588125810433707,-0.0020494384676696953,0.001708605623574222,0.0037594493536081686
XLB & IYM,long,2023-12-18,2024-02-23,46,-2.140218316187269,0.08382784010397075,-0.013427242189936628,0.006894649337033876,0.020392104384870047
XLB & IYM,short,2024-05-01,2024-05-07,5,2.2900676373325717,0.140667472003,0.00997033891674004,0.007183701734819081,0.0027886818804785385
XLB & IYM,short,2024-06-04,2024-06-07,4,2.3017538251601533,-0.13908513520846136,0.007475251077143419,0.001569989698853469,0.005916777350053692
XLF & IYF,long,2023-07-18,2023-08-02,12,-2.1333919937592754,0.09285004385322655,0.004706599718990567,0.0007038143433950594,-0.004011103440622499
XLF & IYF,long,2023-09-12,2023-09-13,2,-2.0167021209708604,-0.21766668914111997,-0.00010134551939033898,0.002539850358965534,0.002641195878355873
XLF & IYF,long,2023-10-26,2023-11-03,7,-2.292345460193327,0.2489434774527567,-0.010464098106085284,-0.004851180585555781,0.005621822862984516
XLF & IYF,long,2023-12-04,2023-12-07,4,-2.308291786487803,-0.23276167328533318,-0.004364370360512293,-0.0027571436922277925,0.0016072377569533725
XLF & IYF,long,2023-12-14,2023-12-22,7,-2.0326424624567214,0.12908107994762746,-0.0069503617942472395,-0.005301737799829009,0.0016339590088347844
XLF & IYF,short,2024-01-30,2024-02-08,8,2.2302444813812277,-0.08912100263249628,0.004327621414483396,0.007397295451081476,-0.003084357093616763
XLF & IYF,long,2024-03-25,2024-04-01,5,-2.223380153776261,-0.07986035470265296,-0.0010933905016723422,0.0018114604273007373,0.002906033586580481
XLF & IYF,long,2024-05-01,2024-05-08,6,-2.1801401550676878,-0.15483913205937203,-0.001826059605527064,-0.0013533970578660792,0.00046625097784858127
XLU & VPU,long,2023-09-18,2023-09-28,9,-3.166828796633006,0.24117389751970425,-0.006656435271099603,-0.0006405749453959331,0.0059950597805213945
XLU & VPU,short,2023-11-22,2024-01-02,27,2.0521184429713273,-0.1751946545257038,0.005688848166667704,0.0020711115404195013,0.0035281072059738516
XLU & VPU,long,2024-02-12,2024-02-26,10,-2.1820431893497574,-0.18390619435830652,-0.0016191789685464641,0.0005870404984538169,0.00220445857051188
XLU & VPU,long,2024-03-18,2024-03-22,5,-4.055035929026097,-0.14387388809913762,-0.007745614989831395,-0.002334232446583151,0.00539387621679599
XLU & VPU,short,2024-05-15,2024-06-04,14,2.18613444625098,-0.14505367046452078,0.0026388380485498075,0.0010026631265978025,0.0016329052191057514
