pair,side,entry_time,exit_time,holding_period,entry_z,exit_z,entry_spread,exit_spread,trade_return
IDU & VPU,short,2021-07-14,2021-07-21,6,1.7067226952144379,0.20385450344260023,-0.0001899907095426201,-0.0005788386732312745,0.0003883700356817066
IDU & VPU,short,2021-07-27,2021-08-02,5,2.0157504695969486,-0.43106641839445303,0.0011793315428398898,-0.00031247653832533473,0.0014922793878282548
IDU & VPU,short,2021-08-09,2021-08-26,14,1.6626726168544108,0.3616270236337799,0.0009513791918003278,0.002025962509378587,-0.0010777348753445715
IDU & VPU,long,2021-08-31,2021-09-02,3,-1.5829840038120804,0.058357440373891144,0.0008057434633457206,0.002080524161521602,0.0012736723802739824
IDU & VPU,long,2021-09-07,2021-09-09,3,-2.307781425479543,0.1799881840409462,0.00028551534130105694,0.002174239816501,0.0018874366579444413
IDU & VPU,long,2021-09-17,2021-09-29,9,-2.092625313968391,0.2940511849762915,5.3037415150392064e-05,0.000956971610965418,0.0008614137082743056
IDU & VPU,short,2021-10-21,2021-10-27,5,1.9758088678911798,0.11993574148249976,0.007946203367090732,0.0045465048155195475,0.003402149824412337
IDU & VPU,short,2021-11-17,2021-11-19,3,2.1811047373962738,-0.1775531397493432,0.007991006106537135,0.0059264330506332286,0.002065623872407718
IDU & VPU,short,2021-11-29,2021-12-16,14,1.7266012743945165,0.34424498744929793,0.007566515497700266,0.0043733491299748906,0.003136224700867718
IDU & VPU,long,2022-01-18,2022-02-01,11,-2.0875841488454654,-0.3491044861321757,-0.00124070115378494,-0.002344126070957131,-0.0011111280454960681
IDU & VPU,long,2022-02-14,2022-03-08,16,-1.719175004095671,-0.1177637339980657,-0.00619469064294087,-0.0062501771987957255,-6.927026868319697e-05
IDU & VPU,short,2022-03-15,2022-04-13,22,1.8162355151342835,0.08558813453058171,-0.0016553190181420874,0.000392440266645977,-0.00205572903872675
IDU & VPU,long,2022-04-22,2022-05-02,7,-1.8042095286772561,0.4794967359015962,-0.0013271841964588305,0.002058951497477146,0.003377308656291378
IDU & VPU,long,2022-05-12,2022-05-24,9,-2.0763176915902717,-0.27241493262855443,-0.004270372292488389,-0.0018629389512225814,0.0024027110098256976
IDU & VPU,short,2022-06-03,2022-06-06,2,1.6859813345050902,-0.38450936599615715,-0.00013447076428274585,-0.002966102094110745,0.0028316313298279994
IYC & XHB,long,2021-07-29,2021-08-23,18,-1.8448915118803095,-0.3639255271778248,0.006235820767201972,-0.005109119008313456,-0.011670328802545149
IYC & XHB,short,2021-09-07,2021-10-20,32,1.5333710297316088,-0.1807222128861772,-0.0015170148383196747,0.017534202804427856,-0.019448052239911418
IYC & XHB,short,2021-10-26,2021-12-21,40,1.6250694700813877,-0.4257085802254075,0.04212035604298503,-0.029909215446762616,0.07351626208904749
IYC & XHB,short,2022-01-07,2022-01-13,5,1.8583447100552426,0.2892227767285493,-0.005346952584067921,-0.027816148172079558,0.02260754301651824
IYC & XHB,long,2022-01-24,2022-01-31,6,-1.609468367096565,0.2141205846207163,-0.04847510245005182,-0.023387171691941155,0.02520174802838726
IYC & XHB,short,2022-02-04,2022-02-25,15,2.230849014512012,0.246928391688555,0.005593819940993505,-0.00469191176158823,0.010060462147450933
IYC & XHB,long,2022-03-09,2022-03-18,8,-1.507871313132388,-0.18815249215522759,-0.032764814547341814,-0.012316189053685811,0.020427026394826298
IYC & XHB,short,2022-03-22,2022-04-20,21,1.6206554759154643,0.3023529649163828,0.02077361921062959,0.07259081705742254,-0.051763536769602214
IYC & XHB,long,2022-04-29,2022-05-31,22,-2.1895913212167786,-0.4278435061491448,0.008555237998431942,-0.05345688687281758,-0.061675848281029344
XLE & AMLP,short,2021-08-03,2021-08-27,19,1.5418728594918967,0.4035456563275468,-0.08938519244554666,-0.05345374688422533,-0.038931024332218844
XLE & AMLP,long,2021-09-03,2021-09-10,5,-1.6450441768209563,-0.17061788721857238,-0.10932105845782791,-0.0618844361519133,0.04805392125484831
XLE & AMLP,short,2021-09-20,2021-09-23,4,1.9863591455246112,-0.0865576625977395,0.002939184870054845,-0.05318015820186428,0.05700730740673832
