pair,side,entry_time,exit_time,holding_period,entry_z,exit_z,entry_spread,exit_spread,trade_return
IDU & VPU,short,2023-08-15,2023-09-14,22,1.5704038244582896,0.24147394792761448,-0.013688132953371124,-0.015007144709275444,0.0013139594030222579
IDU & VPU,long,2023-09-26,2023-11-03,29,-4.382844001862742,0.11477422899235351,-0.02125055935039999,-0.006324166821537247,0.014918949893925504
IDU & VPU,short,2023-11-09,2023-11-17,7,1.6472887609898832,0.1628585885851073,0.0016618384761475369,-0.0031780499642923843,0.004832851821769291
IDU & VPU,short,2023-12-19,2024-01-02,9,3.4735252856141963,0.13504265036734253,0.006406794456090381,-0.0015443956547693816,0.007959879428404149
IDU & VPU,short,2024-01-11,2024-03-08,40,1.8804274002455534,0.0810484623659929,0.002594023252412647,0.015387852650493805,-0.012788705983619808
IDU & VPU,long,2024-03-21,2024-04-01,7,-1.5285128630620457,0.0279079086004168,0.012817176109857442,0.01805141885288286,0.00520838848081473
IDU & VPU,long,2024-04-09,2024-04-11,3,-1.7447982861230165,0.1040411563588842,0.013767722830981377,0.01788364375606033,0.004107587354666764
IDU & VPU,short,2024-04-16,2024-04-18,3,1.839281058620395,-0.025047143013504615,0.021134115432024814,0.017376477691084524,0.0037599296437900165
IDU & VPU,long,2024-04-30,2024-06-07,28,-1.5408487470389358,-0.09312116437583032,0.013606780087239478,0.008051853801434916,-0.0055664357115483565
XLB & IYM,long,2023-07-03,2023-07-06,3,-2.2125415025831914,-0.12954472248728224,-0.003694347874095172,-0.00183633971887609,0.0018588670773105331
XLB & IYM,long,2023-07-07,2023-07-14,6,-2.0402909897149186,0.06062226924724962,-0.006052444096366294,-0.007483939708509801,-0.0014517359792139972
XLB & IYM,long,2023-07-31,2023-08-09,8,-2.336862628227137,0.2461831878071728,-0.012035072126815649,-0.002016024602231603,0.010032262494237054
XLB & IYM,long,2023-08-14,2023-08-18,5,-1.6468304134693348,-0.09369874251891906,-0.0031704454104390933,-0.0009430410588571192,0.002212186049410869
XLB & IYM,long,2023-08-29,2023-09-01,4,-1.6924158187339389,0.1874074697604691,-0.006376063339774696,-0.0044872988118820345,0.0018858832009778226
XLB & IYM,short,2023-09-07,2023-10-09,23,1.7704339905193254,-0.22612207444838747,-0.001941068409389679,0.0034477318300201176,-0.005464165032670776
XLB & IYM,long,2023-10-12,2023-10-18,5,-1.589059929692119,-0.05155210529381903,-0.0011439706125049298,0.0007445815654039123,0.0018822142161414313
XLB & IYM,short,2023-10-23,2023-10-26,4,2.072672926303728,-0.2356632103301707,0.005847222986673728,0.0019300902243069018,0.0039028241610452596
XLB & IYM,short,2023-11-06,2023-11-10,5,1.949650866969395,-0.09077260968059944,0.004192537302850852,0.004194129255616019,-2.6531740047186503e-05
XLB & IYM,long,2023-11-15,2023-11-17,3,-1.5774587850342734,-0.19171939911464433,-0.0009291226260286223,0.003362924716532767,0.004296458448315388
XLB & IYM,long,2023-12-01,2023-12-05,3,-2.3491407754513656,0.11588125810433707,-0.0020494384676696953,0.001708605623574222,0.0037594493536081686
XLB & IYM,long,2023-12-14,2024-02-23,48,-1.9404338258409881,0.08382784010397075,-0.0019477932605136417,0.006894649337033876,0.008683154439032892
XLB & IYM,short,2024-02-28,2024-03-22,18,1.6032869679987392,-0.12432625668867857,0.010166528323662938,0.0044208653976847145,0.0057044835768018665
XLB & IYM,long,2024-04-01,2024-04-29,21,-1.6876980244449407,-0.014907048546880028,-0.002684423788938517,0.001424103993488579,0.004080964948646182
