train_start,train_end,test_start,test_end,portfolio_sharpe,portfolio_max_dd,portfolio_cum_return,n_trades
2018-08-28,2021-08-27,2021-08-28,2022-08-27,0.28504606557627615,-0.07379944848192332,0.01423750032770954,16
2019-08-28,2022-08-27,2022-08-28,2023-08-27,0.4403261619886541,-0.03323853401902941,0.014884524647884145,51
2020-08-28,2023-08-27,2023-08-28,2024-08-27,1.9988091303605937,-0.0045137584623487605,0.020675350500077183,14
