pair,n_trades,win_rate,avg_trade_return,med_trade_return,std_trade_return,expectancy,avg_holding
IDU & VPU,18,0.9444444444444444,0.004839043644412764,0.00599630967986764,0.0067125503724198305,0.004839043644412764,27.38888888888889
IYF & VFH,20,0.8,0.0010101120683785215,0.004607565761820087,0.012850321810718043,0.0010101120683785215,33.7
IYJ & VIS,16,0.75,0.0049157252614415725,0.007117858111323483,0.010012038994920352,0.0049157252614415725,32.0
IYM & GDX,10,0.8,0.015397927992331296,0.047881293274130154,0.09886369998562287,0.015397927992331296,48.7
RWR & VNQ,15,0.8666666666666667,0.004177795542966881,0.01228586022493472,0.02752535809219292,0.004177795542966881,40.666666666666664
XLF & VFH,33,0.8484848484848485,0.0023477463804729972,0.0033599610020478288,0.004425757141495444,0.0023477463804729972,15.848484848484848
